"Persons in Risk of Poverty families by municipality, time and income"
"level"

" "," ","50 per cent of median income"
"All Denmark"
" ","2004",5.7
" ","2005",6.0
" ","2006",5.9
" ","2007",6.0
" ","2008",6.7
" ","2009",7.0
" ","2010",7.2
" ","2011",7.3
" ","2012",7.0
" ","2013",7.3
" ","2014",7.6
" ","2015",7.7
" ","2016",8.3
" ","2017",8.8

"The indicator differs from Eurostat/OECD indicators due to the use of "
"our national income definitions. Updated on the 11th June  2018, due "
"to improved data on tax-free benefits. "

