"Inequality indicators on equivalised disposable income by indicator,"
"time and municipality"

" "," ","All Denmark"
"S80/S20 (Income quintile share ratio)"
" ","2004",3.54
" ","2005",3.71
" ","2006",3.79
" ","2007",4.00
" ","2008",4.64
" ","2009",4.27
" ","2010",4.26
" ","2011",4.28
" ","2012",4.11
" ","2013",4.19
" ","2014",4.36
" ","2015",4.37
" ","2016",4.46
" ","2017",4.54

"The 80/20-rate has been corrected on the 10th of Feruary 2016. "
"Extreme annual changes in the indicators may occur within some "
"municipalities . This is most often due to one or few individuals "
"with large negative incomes in the municipality.. Updated on the 11th "
"June  2018, due to improved data on tax-free benefits. "

