"People by sex, unit, region, time and type of income"

" "," "," "," ","1 Disposable income (2+30-31-32-35)"
"Men and women, total"
" ","Average income for all people (DKK)"
" "," ","All Denmark"
" "," "," ","2004",160083
" "," "," ","2005",166784
" "," "," ","2006",173270
" "," "," ","2007",177530
" "," "," ","2008",176201
" "," "," ","2009",179308
" "," "," ","2010",195011
" "," "," ","2011",199057
" "," "," ","2012",204037
" "," "," ","2013",209655
" "," "," ","2014",214009
" "," "," ","2015",220185
" "," "," ","2016",223438
" "," "," ","2017",229875

