"People by sex, unit, region, time and type of income"

" "," "," "," ","1 Disposable income (2+30-31-32-35)"
"Men and women, total"
" ","Average income for people with type of income (DKK)"
" "," ","All Denmark"
" "," "," ","2004",160875
" "," "," ","2005",167673
" "," "," ","2006",174083
" "," "," ","2007",178330
" "," "," ","2008",177092
" "," "," ","2009",180497
" "," "," ","2010",195626
" "," "," ","2011",199654
" "," "," ","2012",204614
" "," "," ","2013",210194
" "," "," ","2014",214528
" "," "," ","2015",220773
" "," "," ","2016",224128
" "," "," ","2017",230580

