"People by sex, unit, region, time and type of income"

" "," "," "," ","3 Primary income (4+5+6)"
"Men and women, total"
" ","Average income for all people (DKK)"
" "," ","All Denmark"
" "," "," ","2004",168134
" "," "," ","2005",174473
" "," "," ","2006",183647
" "," "," ","2007",191218
" "," "," ","2008",195540
" "," "," ","2009",191138
" "," "," ","2010",194934
" "," "," ","2011",196528
" "," "," ","2012",199889
" "," "," ","2013",202615
" "," "," ","2014",205509
" "," "," ","2015",210232
" "," "," ","2016",214610
" "," "," ","2017",221326

