"People by sex, unit, region, time and type of income"

" "," "," "," ","3 Primary income (4+5+6)"
"Men and women, total"
" ","Average income for people with type of income (DKK)"
" "," ","All Denmark"
" "," "," ","2004",237080
" "," "," ","2005",245625
" "," "," ","2006",257448
" "," "," ","2007",265629
" "," "," ","2008",275074
" "," "," ","2009",273944
" "," "," ","2010",285607
" "," "," ","2011",288986
" "," "," ","2012",296165
" "," "," ","2013",299829
" "," "," ","2014",304272
" "," "," ","2015",311822
" "," "," ","2016",316994
" "," "," ","2017",324951

