"","P1 Faktoreinkommen vor Steuern","P1 Nationaleinkommen vor Steuern","P1 Verfügbares Einkommen nach Steuern","P2 Faktoreinkommen vor Steuern","P2 Nationaleinkommen vor Steuern","P2 Verfügbares Einkommen nach Steuern","Eurostat Verfügbares Einkommen"
"2004",45.85,5.54,3.19,86.91,7.14,5.39,3.54
"2005",49.39,5.61,3.16,102.86,7.45,5.25,3.71
"2006",48.21,5.42,3.22,100.37,7.03,5.21,3.79
"2007",51.5,5.82,3.39,214.24,10.47,6.93,4
"2008",55.33,6.21,3.49,192.43,11.03,7.12,4.64
"2009",55.01,6.03,3.36,202.51,10.48,6.9,4.27
"2010",58.63,6.17,3.58,230.76,10.8,7.18,4.26
"2011",72.15,6.63,3.77,282.05,12.19,7.56,4.28
"2012",79.19,6.8,3.77,269.66,11.04,6.85,4.11
"2013",64.09,6.53,3.69,227.37,10.74,6.77,4.19
"2014",79.43,7.4,3.99,157.06,10.18,6.45,4.36
"2015",67.33,6.67,3.86,141.34,9.03,6.35,4.37
"2016",58.4,6.8,3.85,130.63,9.39,6.61,4.46
"2017",67.42,6.74,3.92,145.39,9.31,6.74,4.54
