"","P1 Faktoreinkommen vor Steuern","P1 Nationaleinkommen vor Steuern","P1 Verfügbares Einkommen nach Steuern","P2 Faktoreinkommen vor Steuern","P2 Nationaleinkommen vor Steuern","P2 Verfügbares Einkommen nach Steuern","Eurostat Verfügbares Einkommen"
"2004",34430.34,40891.98,28370.61,32915.76,38678.16,27293.91,27250.3
"2005",34474.53,40681.39,28651.63,33033.01,38532.54,27482.93,27404.71
"2006",34915.35,41210.6,28964.12,33469.94,39112.04,27832.18,27760.69
"2007",36614.52,42788.87,30037.79,32767.63,37975.43,33077.26,28537.5
"2008",36455.49,42404.63,29727.99,32664.52,37697.24,32687.69,28541.67
"2009",36382.8,42570.6,29976.66,32939.52,38202.15,33342.34,28118.35
"2010",36123.19,42613.77,30575.51,32705.73,38206.55,33734.08,28602.55
"2011",36733.95,43568.14,31416.4,33424.57,39197.48,34724.54,30379.92
"2012",35532.7,42582.28,30931.32,33039.8,39163.04,34834.15,30020.22
"2013",36410.88,43735.41,31577.54,34227.54,40682.65,36100.98,30263.58
"2014",37655.67,45537.1,32676.44,36375.47,43379.57,31693.98,31170.34
"2015",38132.84,46178.73,33226.56,36793.45,43959.14,32104.97,31518
"2016",39909.14,47567.6,33624.55,38451.81,45292.76,32772,32141
"2017",39785.66,47722.42,33775.7,38356.84,45432.31,32784.68,32435.21
